"url","Headline","Headline2","Author","Content","Provider","Date","Date_link","_url_input"
"https://apnews.com/article/global-trade-england-english-channel-coronavirus-pandemic-france-83ef15eac10bade1859a0d321d4b5448","Cut off: Britain hit with travel bans over new virus strain","","","LONDON (AP) — Trucks waiting to get out of Britain backed up for miles and people were left stranded at airports Monday as dozens of countries around the world slapped tough travel restrictions on... ","apnews.com","2020-12-21T09:08:13Z","","https://apnews.com/article/global-trade-england-english-channel-coronavirus-pandemic-france-83ef15eac10bade1859a0d321d4b5448"
"https://apnews.com/article/technology-climate-climate-change-john-barrasso-legislation-7e1db709dc1fa91ce6516f27459cdf93","Congress takes aim at climate change in massive relief bill","","","WASHINGTON (AP) — The huge pandemic relief and spending bill includes billions of dollars to promote clean energy such as wind and solar power while sharply reducing over time the use of potent... ","apnews.com","2020-12-21T22:53:57Z","","https://apnews.com/article/technology-climate-climate-change-john-barrasso-legislation-7e1db709dc1fa91ce6516f27459cdf93"
"https://apnews.com/article/europe-coronavirus-pandemic-coronavirus-vaccine-amsterdam-europe-4cd75619772c208c29fddbcb02d25b9e","EU greenlights COVID-19 vaccine after agency gives safety OK","","","BRUSSELS (AP) — The European Union on Monday gave official approval for the coronavirus vaccine developed by BioNTech and Pfizer to be used across the 27-nation bloc, raising hopes that countries... ","apnews.com","2020-12-21T08:41:51Z","","https://apnews.com/article/europe-coronavirus-pandemic-coronavirus-vaccine-amsterdam-europe-4cd75619772c208c29fddbcb02d25b9e"
"https://apnews.com/article/alexei-navalny-poisoning-underpants-202f470c2d1c19151b9deb564d94e8f9","Navalny releases recording of call to his alleged poisoner","","","MOSCOW (AP) — Russian opposition leader Alexei Navalny on Monday released a recording of a phone call he said he made to an alleged state security operative, who revealed some details of how the... ","apnews.com","2020-12-21T16:49:56Z","","https://apnews.com/article/alexei-navalny-poisoning-underpants-202f470c2d1c19151b9deb564d94e8f9"
"https://apnews.com/article/kelly-loeffler-georgia-senate-elections-7297622933c169ae093327e8b0e1ee75","Loeffler's wealth, Trump loyalty face scrutiny in Georgia ","","","ATLANTA (AP) — In the fight to retain her U.S. Senate seat, Republican Kelly Loeffler has boasted she is “more conservative than Attila the Hun” and has a “100% Trump voting record.” She has... ","apnews.com","2020-12-21T16:45:11Z","","https://apnews.com/article/kelly-loeffler-georgia-senate-elections-7297622933c169ae093327e8b0e1ee75"
"https://apnews.com/article/pandemics-pets-coronavirus-pandemic-nursing-homes-bronx-f58a932f84ee5387d6ae7e22818f25d6","Dogs ease pandemic isolation for nursing home residents","","","Eileen Nagle sees her family in video chats and drive-by visits, but that hasn't made up for the lack of warm hugs in the nine months since the pandemic led her nursing home to shut its doors to... ","apnews.com","2020-12-21T15:09:07Z","","https://apnews.com/article/pandemics-pets-coronavirus-pandemic-nursing-homes-bronx-f58a932f84ee5387d6ae7e22818f25d6"
"https://apnews.com/article/media-social-media-chuck-grassley-chris-murphy-a43992f3fc8c3f4ff198a838f748a0a9","Report: Social media manipulation affects even US senators","","","BRUSSELS (AP) — The conversation taking place around two U.S. senators’ verified social media accounts remained vulnerable to manipulation through artificially inflated shares and likes from fake... ","apnews.com","2020-12-20T21:41:41Z","","https://apnews.com/article/media-social-media-chuck-grassley-chris-murphy-a43992f3fc8c3f4ff198a838f748a0a9"
"https://apnews.com/article/saturn-jupiter-merging-sky-space-8c48ceaf9c758c024ec06e8dc5a1a49b","Jupiter, Saturn merging in night sky, closest in centuries","","","CAPE CANAVERAL, Fla. (AP) — Jupiter and Saturn will merge in the night sky Monday, appearing closer to one another than they have since Galileo’s time in the 17th century. Astronomers say... ","apnews.com","2020-12-18T15:32:33Z","","https://apnews.com/article/saturn-jupiter-merging-sky-space-8c48ceaf9c758c024ec06e8dc5a1a49b"
"https://apnews.com/article/prisons-michigan-coronavirus-pandemic-detroit-marquette-1efcc3f5f2fa092f0f4e9e1c52821e07","COVID-19 spikes follow in prisons after inmate transfers","","","DETROIT (AP) — Families of men incarcerated at Michigan’s Kinross Correctional Facility believed its remote location would spare it from a deadly COVID-19 outbreak. For a while, they seemed to be... ","apnews.com","2020-12-21T11:06:34Z","","https://apnews.com/article/prisons-michigan-coronavirus-pandemic-detroit-marquette-1efcc3f5f2fa092f0f4e9e1c52821e07"
"https://apnews.com/article/us-news-coronavirus-pandemic-0b851d280c0433e07460516831738519","With winter at hand, the virus whips up winds of uncertainty","","","Coronavirus cases spiking nationwide. A chill, existential and literal, setting in once more. And now: a winter likely to be streaked by a soundtrack of sirens instead of silver bells. It... ","apnews.com","2020-12-21T08:00:49Z","","https://apnews.com/article/us-news-coronavirus-pandemic-0b851d280c0433e07460516831738519"
